name,url,license,mode,role
OpenHands,https://github.com/OpenHands/OpenHands,MIT core; enterprise/ PolyForm Free Trial,ADAPTER_BACKEND,Sandboxed/specialist coding
Maxun,https://github.com/getmaxun/maxun,AGPL-3.0,ISOLATED_SIDECAR,Persistent scraping robots
browser-use,https://github.com/browser-use/browser-use,MIT,ADAPTER,Interactive browser
Agent-Reach,https://github.com/Panniantong/agent-reach,MIT,ADAPTER_MCP,Platform-specific research
Graft,https://github.com/trailhq/Graft,MIT,CORE_CODE_INTELLIGENCE,Concept/code context
agency-agents,https://github.com/msitarzewski/agency-agents,MIT,SKILL_PACK,Role recipes
codebase-memory-mcp,https://github.com/DeusData/codebase-memory-mcp,MIT,CORE_MCP,Structural code graph
OpenMontage,https://github.com/calesthio/OpenMontage,AGPL-3.0,ISOLATED_SIDECAR_SKILLS,Video production
Open Notebook,https://github.com/lfnovo/open-notebook,MIT,SIDECAR_MCP,Research notebook
no-ai-slop,https://github.com/petergyang/no-ai-slop,MIT,SKILL,Writing quality
i-have-adhd,https://github.com/ayghri/i-have-adhd,MIT,OPTIONAL_PRESENTATION_SKILL,Action-first output
Strix,https://github.com/usestrix/strix,Apache-2.0,RESTRICTED_SECURITY_ADAPTER,Authorized app security
Vane,https://github.com/ItzCrazyKns/Vane,MIT,SEARCH_ADAPTER,Private metasearch
agenticSeek,https://github.com/Fosowl/agenticSeek,GPL-3.0,REFERENCE_OR_ISOLATED_ADAPTER,Local assistant patterns
Scrapling,https://github.com/D4Vinci/Scrapling,BSD-3-Clause,CORE_WEB_ADAPTER,Adaptive scraping
gstack,https://github.com/garrytan/gstack,MIT,HIGH_VALUE_SKILL_PACK,Engineering/QA/CEO skills
AnythingLLM,https://github.com/Mintplex-Labs/anything-llm,MIT,OPTIONAL_SIDECAR,Document/RAG workspace
Pipecat,https://github.com/pipecat-ai/pipecat,BSD-2-Clause,VOICE_PROVIDER_EXPERIMENTAL,Realtime voice/multimodal
Postiz,https://github.com/gitroomhq/postiz-app,AGPL-3.0,ISOLATED_SIDECAR,Social scheduling
CrewAI,https://github.com/crewAIInc/crewAI,MIT,REFERENCE_OR_BOUNDED_FLOW,Crew/flow patterns
Cline,https://github.com/cline/cline,Apache-2.0,ADAPTER_BACKEND,Coding SDK/headless CLI
